psid,pid,study1,dpIssue,dpCondition,newsArticle,collaborationCondition2,pretest1,pretest1ind,collaborationCondition,random,result.score,representativeName,representativeLastName,representativeParty,representativeOppositionParty,representativePartyName,representativeState,representativeDistrict,attack,goodComplete,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98_1,Q99,Q100,Q101,Q102,Q103_1,Q103_2,Q103_3,Q103_4,Q103_5,Q103_6,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121_1,Q122,Q123,Q124,LocationLatitude,LocationLongitude,LocationAccuracy
kpNgzR0iscFYb-FpbLV23A**,,2,2,2,3,1,2,2,4,2,,Lois Frankel,Frankel,D,Republican,Democratic,FL,22,for being too conservative,1,2,1,30,2,8,5,3,3,3,,,,2,1,72,51,51,51,4,3,5,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,33407,6738,1,,,,1,80,2,4,3,6,,2,13,I like her,1,1,,1,4,4,4,4,7,6,6,6,7,7,5,8,6,6,1,1,,,1,2,2,1,1,1,,,,1,,,3,50,11,15,15,26.71530151,-80.05339813,-1
kpNgzR0iscFvnyeJT1VJGQ**,,2,2,3,1,1,3,2,3,5,,Duncan Hunter,Hunter,R,Democrat,Republican,CA,50,for being too conservative,1,2,1,14,1,6,2,4,3,3,,,,2,6,76,38,42,75,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,92027,1235,1,,,1,,84,2,2,2,9,10,3,14,not sure,1,1,,1,3,2,2,79,6,7,5,6,7,7,6,6,8,7,1,1,1,,,2,3,2,1,1,,,,,,1,2,84,10,14,16,33.20039368,-117.2906952,-1
kpNgzR0iscEEtg7v03j8cQ**,,1,2,3,3,4,3,1,4,5,0,John Boehner,Boehner,R,Democrat,Republican,OH,8,for being too conservative,1,2,1,14,1,9,4,2,1,,,,1,2,1,71,81,80,40,5,5,5,5,5,5,5,1,1,1,1,5.448,9.968,27.254,3,africa,1,1.793,4.361,18.231,2,great,1,1.486,2.734,8.745,2,trues,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,45358,5061,1,1,,,,4,95,1,1,1,15,very nice,1,,,,,,1,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75840759,-82.51550293,-1
kpNgzR0iscEGSnDPZ6BrNg**,,2,1,3,1,3,2,2,2,1,,Bobby Rush,Rush,D,Republican,Democratic,IL,1,for being too conservative,1,2,2,4,1,1,3,6,1,,,,1,1,1,80,29,70,100,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60620,4208,1,,1,,,70,2,3,2,3,9,2,12,,1,,1,1,4,4,2,,6,5,6,6,6,4,4,8,4,4,1,1,1,,,1,3,3,1,1,,,1,,,,2,41,11,18,18,41.8500061,-87.65000153,-1
kpNgzR0iscF0m631dF-5Zg**,,2,1,3,3,4,2,2,1,5,,John Culberson,Culberson,R,Democrat,Republican,TX,7,for being too conservative,1,1,3,17,1,3,2,1,2,,1,1,,2,6,100,100,100,100,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,77095,1298,1,1,,,,100,1,1,1,11,,1,15,na,1,1,,1,1,1,1,100,4,8,8,8,8,8,8,8,8,8,1,1,,,1,1,5,4,1,1,,,,1,,,1,0,13,19,19,29.83270264,-95.66269684,-1
kpNgzR0iscEpaz1B9OUF0Q**,,2,2,1,3,1,2,1,4,5,,Michael Capuano,Capuano,D,Republican,Democratic,MA,7,for being too conservative,1,1,1,9,1,2,2,1,2,,1,1,,1,1,23,100,7,16,5,3,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2148,1000,1,,,,1,50,4,3,3,6,,2,11,"not sure but, think he is ok",1,,1,1,3,3,2,50,5,6,6,6,4,4,4,4,4,6,1,1,,,1,2,3,3,1,1,,,,1,,,1,60,11,15,15,42.42810059,-71.05460358,-1
kpNgzR0iscH1wgsjO6Fpig**,,1,1,2,1,2,2,1,1,1,1,Michael Capuano,Capuano,D,Republican,Democratic,MA,7,for being too conservative,1,2,1,54,1,1,2,2,1,,,,1,2,2,80,20,81,74,5,4,4,3,4,5,5,1,1,1,1,9.403,9.403,16.908,1,africa,1,3.166,3.166,14.715,1,GALAXY,1,4.165,4.165,30.013,1,,1,1,0,0,21.882,0,1,,,,,1,1,,1,,I JUST PICKED 3 AT RAMDOM,1,TO GIVE THESE PEOPLE  CHANCE,1,1,,,,,,,,,1,1,2131,4813,1,1,,7,,,80,1,1,2,14,I THINK HE'S DOING A GOOD JOB BUT I DON'T KNOW MUCH ABOUT HIS PERSONAL LIFE.,1,,1,,,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.34919739,-71.05919647,-1
kpNgzR0iscHbOX4_ZyUWWQ**,,2,2,1,3,1,1,2,2,1,,Theodore Deutch,Deutch,D,Republican,Democratic,FL,21,for being too conservative,1,1,1,7,1,4,5,4,3,3,,,,1,7,41,43,28,36,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,33065,1869,1,,1,,,5,6,5,3,7,9,3,11,na,1,1,,1,2,2,2,39,6,6,6,6,6,6,6,6,6,6,1,1,,,1,2,3,3,1,1,,1,,,,,3,50,11,16,16,26.27200317,-80.25800323,-1
kpNgzR0iscF89Fnwr7Y3Rw**,,2,2,2,1,3,1,1,4,5,,Stephen Cohen,Cohen,D,Republican,Democratic,TN,9,for being too conservative,1,1,1,9,1,3,2,5,3,1,,,,1,7,64,46,61,55,2,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,38118,3805,1,,,,1,61,3,2,3,2,,2,13,offers good balance to tn state politics,1,,1,1,2,2,4,10,7,6,5,6,7,7,6,6,6,6,1,1,1,,,2,3,2,1,1,1,,,,,,3,46,11,17,16,35.03869629,-89.92759705,-1
kpNgzR0iscHVH6Q3gwaSJw**,,1,1,3,2,4,2,2,3,2,2,,,,Republican,,,,for being too conservative,1,2,1,39,1,1,4,6,1,,,,1,2,7,100,1,100,51,5,1,4,1,4,5,5,1,1,1,1,9.187,9.187,16.449,1,SAFARI,1,9.097,9.097,15.654,1,GALAXY,1,7.06,7.06,20.097,1,HATE,1,1,0,0,1.521,0,1,,,,,1,1,,1,,I AM NOT A REPUBLICAN ,2,I LIKE THIS GROUP,1,1,,,,,,,,,1,1,90007,9000,1,1,,,,13,10,7,5,5,9,THEY ARE ONLY FOR THE RICH,1,,,1,,,,7,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02659607,-118.2830963,-1
